Date,User,Message
2020-01-04 07:32:41,"임연지","이모티콘"
2020-01-04 07:32:54,"임연지","빵꿍이"
2020-01-04 07:38:41,"❤❤빵꿍❤❤","호여여"
2020-01-04 07:38:46,"임연지","이모티콘"
2020-01-04 07:38:51,"❤❤빵꿍❤❤","자부럿어여"
2020-01-04 07:38:55,"임연지","긍게"
2020-01-04 07:39:01,"임연지","왜캐 일찍잤어"
2020-01-04 07:39:07,"❤❤빵꿍❤❤","병원"
2020-01-04 07:39:20,"❤❤빵꿍❤❤","징궁이느"
2020-01-04 07:39:21,"임연지","그래도 넘 일찍잤는디 ㅋㅋ"
2020-01-04 07:39:38,"❤❤빵꿍❤❤","ㄴ아"
2020-01-04 07:39:39,"❤❤빵꿍❤❤","ㅋㅋㅋ"
2020-01-04 07:39:41,"임연지","징구는 빵꿍자나보내고 조금있다가 잤어"
2020-01-04 07:40:08,"❤❤빵꿍❤❤","피티의 영향이컷어"
2020-01-04 07:40:57,"임연지","ㅋㅋㅋㅋㅋ"
2020-01-04 07:41:02,"임연지","꿀잠"
2020-01-04 07:41:30,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 07:42:06,"임연지","이모티콘"
2020-01-04 07:42:14,"임연지","징구 준비하러간다잉"
2020-01-04 07:43:30,"❤❤빵꿍❤❤","무신준비여?"
2020-01-04 07:44:29,"❤❤빵꿍❤❤","나하"
2020-01-04 07:44:40,"❤❤빵꿍❤❤","알바"
2020-01-04 07:44:41,"❤❤빵꿍❤❤","헤헤"
2020-01-04 07:44:47,"❤❤빵꿍❤❤","토요일이구낭"
2020-01-04 07:44:54,"임연지","저기유"
2020-01-04 07:44:57,"❤❤빵꿍❤❤","넹"
2020-01-04 07:44:57,"임연지","증맬"
2020-01-04 07:44:59,"❤❤빵꿍❤❤","ㅋㅋㅋ"
2020-01-04 07:45:04,"임연지","징구 오늘알바갔다가"
2020-01-04 07:45:18,"임연지","맥북직거래하러 중앙역갔다가"
2020-01-04 07:45:24,"임연지","엄마랑 미용실가"
2020-01-04 07:45:26,"임연지","호여"
2020-01-04 07:45:36,"임연지","엄마가 직거래 걱정된다고 같이가겠대"
2020-01-04 07:45:45,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 07:45:59,"임연지","이모티콘"
2020-01-04 07:46:15,"❤❤빵꿍❤❤","오늘 못보는겨?"
2020-01-04 07:46:39,"임연지","오늘은 조검힘들거같은디"
2020-01-04 07:46:43,"임연지","이모티콘"
2020-01-04 07:46:55,"임연지","호여"
2020-01-04 07:46:58,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 07:47:00,"임연지","일욜에 보자유"
2020-01-04 07:47:03,"임연지","이모티콘"
2020-01-04 07:47:04,"임연지","이모티콘"
2020-01-04 08:04:54,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 08:26:03,"임연지","이모티콘"
2020-01-04 08:26:06,"임연지","이모티콘"
2020-01-04 08:26:08,"임연지","이모티콘"
2020-01-04 08:26:09,"임연지","이모티콘"
2020-01-04 08:26:11,"임연지","일요일에 보자유"
2020-01-04 08:27:11,"임연지","사진"
2020-01-04 08:53:52,"임연지","https://youtu.be/1eb-AK3WS6Y"
2020-01-04 08:54:01,"임연지","징궁이 일하러 갔다오게여"
2020-01-04 08:54:27,"❤❤빵꿍❤❤","네넹에"
2020-01-04 14:54:25,"임연지","징구이 휴게 시작시간 놓쳐서"
2020-01-04 14:54:31,"임연지","10분밖에 못쉬었어여"
2020-01-04 14:54:54,"임연지","이제 중고맥북 사러 갈꺼여"
2020-01-04 15:41:46,"임연지","안적 안끝났어 병원?"
2020-01-04 15:49:23,"❤❤빵꿍❤❤","아녀여"
2020-01-04 15:49:29,"❤❤빵꿍❤❤","낮잠잣어여"
2020-01-04 15:49:31,"❤❤빵꿍❤❤","호여야"
2020-01-04 15:50:28,"임연지","ㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-01-04 15:50:31,"임연지","그랬더?"
2020-01-04 15:50:48,"❤❤빵꿍❤❤","웅용"
2020-01-04 15:50:51,"❤❤빵꿍❤❤","아니"
2020-01-04 15:51:01,"임연지","결과는 어째 별일없어?"
2020-01-04 15:51:05,"❤❤빵꿍❤❤","오늘 가서 도수치료라는거 햇거든?"
2020-01-04 15:51:07,"❤❤빵꿍❤❤","와"
2020-01-04 15:51:14,"❤❤빵꿍❤❤","그냥 개신기혀"
2020-01-04 15:51:18,"임연지","도수치료?"
2020-01-04 15:51:20,"❤❤빵꿍❤❤","웅요요"
2020-01-04 15:51:25,"임연지","어디 안좋아?"
2020-01-04 15:51:32,"임연지","뭐하는 치료인데?"
2020-01-04 15:51:43,"❤❤빵꿍❤❤","전화가능?"
2020-01-04 15:51:46,"❤❤빵꿍❤❤","불가능?"
2020-01-04 15:51:55,"임연지","지곰 엄마랑 같이 음악듣고있어"
2020-01-04 15:51:59,"❤❤빵꿍❤❤","호ㅕㅇ"
2020-01-04 15:52:25,"❤❤빵꿍❤❤","아니아니"
2020-01-04 15:52:30,"임연지","웅 지곰 엄마랑 중고사러가는중"
2020-01-04 15:52:37,"❤❤빵꿍❤❤","엑스레이를 찍엇거든?"
2020-01-04 15:52:39,"임연지","오빠 평소에 아픈 어깨 땜시?"
2020-01-04 15:52:42,"임연지","어엉"
2020-01-04 15:53:00,"임연지","으쨌어"
2020-01-04 15:53:00,"❤❤빵꿍❤❤","그리고 넘어갓는디"
2020-01-04 15:53:13,"❤❤빵꿍❤❤","자기가 엑스레이 결과를 보고 진료를 보먄"
2020-01-04 15:53:21,"❤❤빵꿍❤❤","선입견이 생길수 잇기때문에"
2020-01-04 15:53:29,"❤❤빵꿍❤❤","그냥 일단한번 보겟데"
2020-01-04 15:53:33,"❤❤빵꿍❤❤","누워서"
2020-01-04 15:53:45,"임연지","엉"
2020-01-04 15:53:58,"❤❤빵꿍❤❤","오른팔을  밖으로 당길테니까"
2020-01-04 15:54:06,"❤❤빵꿍❤❤","안으로 힘줘서 밀어보라고"
2020-01-04 15:54:18,"❤❤빵꿍❤❤","그래서 부위부위 짚어가면서"
2020-01-04 15:54:22,"❤❤빵꿍❤❤","당기는데"
2020-01-04 15:54:32,"임연지","어엉"
2020-01-04 15:54:36,"임연지","겁내 아파부렀어? ㅠ"
2020-01-04 15:54:42,"❤❤빵꿍❤❤","아니여"
2020-01-04 15:54:44,"❤❤빵꿍❤❤","그게아니고"
2020-01-04 15:54:56,"임연지","멀쩡해부러?"
2020-01-04 15:54:57,"임연지","ㅋㅋㅋㅋ"
2020-01-04 15:54:59,"❤❤빵꿍❤❤","아ㅣ"
2020-01-04 15:55:05,"❤❤빵꿍❤❤","이게 전화로 해야"
2020-01-04 15:55:09,"❤❤빵꿍❤❤","ㅋㅋㅋㅋ"
2020-01-04 15:55:17,"임연지","오키 그러면 이따 하겠습니다"
2020-01-04 15:55:21,"❤❤빵꿍❤❤","오키"
2020-01-04 15:55:23,"❤❤빵꿍❤❤","ㅋㅋㅋㅋ"
2020-01-04 15:55:39,"임연지","이모티콘"
2020-01-04 15:55:42,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 15:55:46,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 15:55:47,"임연지","ㅋㅋㅋㅋㅋㅋ"
2020-01-04 15:55:50,"임연지","이제 무할겨"
2020-01-04 15:56:04,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 15:56:06,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 15:56:08,"임연지","오키"
2020-01-04 15:56:12,"❤❤빵꿍❤❤","웅요"
2020-01-04 15:56:17,"임연지","약속같은건 없고?"
2020-01-04 15:56:18,"임연지","ㅋ"
2020-01-04 15:56:20,"❤❤빵꿍❤❤","웅요"
2020-01-04 15:56:20,"임연지","ㅋㅋㅋ"
2020-01-04 15:56:26,"임연지","알똥"
2020-01-04 15:56:36,"임연지","징구는 엄마랑 중고사고 바로 미용실 갈듯"
2020-01-04 15:56:37,"❤❤빵꿍❤❤","약속 만들어야겟다"
2020-01-04 15:56:48,"임연지","호잉"
2020-01-04 15:56:54,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 15:57:03,"임연지","이모티콘"
2020-01-04 15:57:06,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 15:57:08,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 15:57:21,"임연지","이모티콘"
2020-01-04 15:57:24,"임연지","이모티콘"
2020-01-04 16:44:06,"❤❤빵꿍❤❤","444"
2020-01-04 16:44:07,"❤❤빵꿍❤❤","444"
2020-01-04 16:44:08,"❤❤빵꿍❤❤","444"
2020-01-04 16:44:08,"❤❤빵꿍❤❤","44"
2020-01-04 16:44:09,"❤❤빵꿍❤❤","444"
2020-01-04 16:44:10,"❤❤빵꿍❤❤","444"
2020-01-04 16:44:12,"❤❤빵꿍❤❤","444"
2020-01-04 16:44:23,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 16:44:40,"임연지","이모티콘"
2020-01-04 16:57:11,"임연지","징구이 엄마랑 밥무러왔더"
2020-01-04 16:57:39,"❤❤빵꿍❤❤","웅웅"
2020-01-04 16:57:45,"❤❤빵꿍❤❤","맛나게 묵어여"
2020-01-04 16:57:51,"임연지","빵댕이 무뭇나"
2020-01-04 16:57:54,"임연지","점심그"
2020-01-04 16:57:57,"❤❤빵꿍❤❤","육개장"
2020-01-04 16:58:03,"임연지","호여 맛난거묵어붓네"
2020-01-04 16:58:05,"임연지","ㅋㅋㅋ"
2020-01-04 16:58:07,"❤❤빵꿍❤❤","웅요"
2020-01-04 16:58:11,"❤❤빵꿍❤❤","맛잇엇져"
2020-01-04 16:58:11,"임연지","징구는 짜장무러오ㅓㅆ어"
2020-01-04 16:58:14,"❤❤빵꿍❤❤","호요"
2020-01-04 16:58:16,"임연지","엄마는 잡채밥"
2020-01-04 16:59:16,"❤❤빵꿍❤❤","맛난거 뭇네"
2020-01-04 16:59:28,"임연지","웅 맛나것젱"
2020-01-04 16:59:42,"임연지","짜장에 고추가루 겁내 뿌려묵을기다"
2020-01-04 16:59:51,"❤❤빵꿍❤❤","그려그려"
2020-01-04 16:59:54,"❤❤빵꿍❤❤","맛나게 묵어요여"
2020-01-04 16:59:55,"임연지","헿"
2020-01-04 16:59:57,"임연지","넹"
2020-01-04 18:35:24,"❤❤빵꿍❤❤","무하농"
2020-01-04 18:35:28,"❤❤빵꿍❤❤","미용실이여여?"
2020-01-04 18:35:38,"❤❤빵꿍❤❤","맥북은 삿는교"
2020-01-04 18:35:45,"임연지","웅"
2020-01-04 18:35:48,"임연지","샀덩"
2020-01-04 18:35:54,"임연지","이모티콘"
2020-01-04 18:35:59,"❤❤빵꿍❤❤","맘에 드는교?"
2020-01-04 18:35:59,"임연지","지곰은 미용실그"
2020-01-04 18:36:04,"❤❤빵꿍❤❤","이상은 없고?"
2020-01-04 18:47:01,"임연지","엄마가 지곰 보라해서"
2020-01-04 18:47:08,"임연지","미용실에서 꺼내서 보고있는중"
2020-01-04 18:47:09,"임연지","ㅋㅋㅋㅋㅋ"
2020-01-04 19:51:09,"임연지","징구 이제 집갈라구"
2020-01-04 19:51:23,"임연지","이상은 와파가 잡히는건 잡히는데 안잡히는게 있어서"
2020-01-04 19:51:31,"임연지","집가서 공장초기화하려고"
2020-01-04 20:24:21,"❤❤빵꿍❤❤","호여"
2020-01-04 20:24:30,"❤❤빵꿍❤❤","집이여여?"
2020-01-04 20:24:37,"❤❤빵꿍❤❤","오빠는 집앞에서 밥묵고왓어"
2020-01-04 20:25:10,"임연지","징구 집가는중!"
2020-01-04 20:25:15,"임연지","무묵었덩?"
2020-01-04 20:25:26,"임연지","이모티콘"
2020-01-04 20:25:46,"❤❤빵꿍❤❤","갤배"
2020-01-04 20:41:43,"임연지","이모티콘"
2020-01-04 20:41:47,"임연지","드디어묵었구먼"
2020-01-04 20:41:48,"임연지","ㅋㅋㅋㅋㅋㅋ"
2020-01-04 20:42:01,"임연지","에 근데 생각해보니 나랑도묵었는디"
2020-01-04 20:42:07,"임연지","또묵었구먼"
2020-01-04 20:42:10,"임연지","ㅋㅋㅋㅋㅋㅋㅋ"
2020-01-04 20:42:23,"임연지","내일은 초밥이랑 삼겹이여"
2020-01-04 20:42:28,"임연지","노빠꾸"
2020-01-04 20:44:31,"❤❤빵꿍❤❤","호여"
2020-01-04 20:44:33,"❤❤빵꿍❤❤","ㅋㅋ"
2020-01-04 20:44:39,"❤❤빵꿍❤❤","생각좀해보구"
2020-01-04 20:45:19,"임연지","이모티콘"
2020-01-04 20:45:20,"임연지","이모티콘"
2020-01-04 20:50:00,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 20:59:58,"임연지","초밥그랑샘겹그.."
2020-01-04 21:18:20,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 21:21:30,"임연지","이모티콘"
2020-01-04 21:21:32,"임연지","이모티콘"
2020-01-04 21:53:33,"임연지","사진"
2020-01-04 21:53:33,"임연지","사진"
2020-01-04 21:53:36,"임연지","이쁘제"
2020-01-04 21:53:58,"임연지","영롱~"
2020-01-04 21:59:57,"❤❤빵꿍❤❤","호여"
2020-01-04 22:00:02,"❤❤빵꿍❤❤","쓸만혀 어뗘"
2020-01-04 22:00:11,"임연지","안적멀라잉"
2020-01-04 22:00:17,"임연지","이제 공장초기화할라구"
2020-01-04 22:00:24,"❤❤빵꿍❤❤","아할"
2020-01-04 22:00:28,"❤❤빵꿍❤❤","아하"
2020-01-04 22:00:34,"❤❤빵꿍❤❤","외관은 괘안어이?"
2020-01-04 22:00:37,"임연지","우웅"
2020-01-04 22:00:44,"❤❤빵꿍❤❤","다행이고몬"
2020-01-04 22:00:45,"임연지","이분이 15년부터 썼는데"
2020-01-04 22:01:00,"임연지","진짜 스크레치 쪼깐한거 1개2개 정도말고는"
2020-01-04 22:01:03,"임연지","없어"
2020-01-04 22:01:08,"임연지","애지중지썼대"
2020-01-04 22:01:11,"❤❤빵꿍❤❤","고로고모모"
2020-01-04 22:01:13,"임연지","우웅"
2020-01-04 22:01:16,"임연지","짱이젱"
2020-01-04 22:01:22,"임연지","이모티콘"
2020-01-04 22:01:23,"❤❤빵꿍❤❤","초기화중이여??"
2020-01-04 22:01:27,"임연지","인자 할라궁"
2020-01-04 22:01:31,"❤❤빵꿍❤❤","오킹킹"
2020-01-04 22:01:34,"임연지","여기저기 사과자랑중이었덩"
2020-01-04 22:01:35,"임연지","이모티콘"
2020-01-04 22:01:42,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 22:01:45,"임연지","빵댕이는 무해???"
2020-01-04 22:01:48,"임연지","이모티콘"
2020-01-04 22:01:55,"❤❤빵꿍❤❤","게임"
2020-01-04 22:01:58,"❤❤빵꿍❤❤","ㅋㅋㅋㅋ"
2020-01-04 22:02:00,"임연지","고로고모모몸"
2020-01-04 22:02:03,"임연지","잼써부러?"
2020-01-04 22:02:07,"임연지","어디까지 했대"
2020-01-04 22:02:08,"임연지","ㅋㅋㅋㅋ"
2020-01-04 22:02:14,"❤❤빵꿍❤❤","개꿀재므"
2020-01-04 22:02:25,"임연지","ㅋㅋㅋㅋㅋ"
2020-01-04 22:02:25,"❤❤빵꿍❤❤","전에햇을때보다 잼나"
2020-01-04 22:02:27,"❤❤빵꿍❤❤","ㅋㅋㅋ"
2020-01-04 22:02:30,"임연지","고래부러??"
2020-01-04 22:02:35,"임연지","오궁"
2020-01-04 22:02:36,"❤❤빵꿍❤❤","웅요ㅛㅇ"
2020-01-04 22:02:48,"임연지","그러면 잼게하구있어 난 공장초기화하고"
2020-01-04 22:02:51,"임연지","이것저것 볼라궁"
2020-01-04 22:02:57,"임연지","그럼 자유시간 갖도록"
2020-01-04 22:03:02,"임연지","이모티콘"
2020-01-04 22:04:31,"❤❤빵꿍❤❤","호영"
2020-01-04 22:04:32,"❤❤빵꿍❤❤","ㄴ0넹"
2020-01-04 22:04:35,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 23:49:11,"임연지","안녕"
2020-01-04 23:49:14,"임연지","이모티콘"
2020-01-04 23:49:25,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 23:49:46,"임연지","무하냥"
2020-01-04 23:49:46,"❤❤빵꿍❤❤","시간 순삭그"
2020-01-04 23:49:50,"임연지","고로고몬"
2020-01-04 23:49:51,"임연지","ㅋㅋㅋㅋㅋ"
2020-01-04 23:49:53,"❤❤빵꿍❤❤","웅요요"
2020-01-04 23:49:59,"임연지","언제까정할라구"
2020-01-04 23:50:01,"❤❤빵꿍❤❤","스톰버드 잡고잇엇엉"
2020-01-04 23:50:01,"❤❤빵꿍❤❤","ㅋㅋㅋ"
2020-01-04 23:50:02,"❤❤빵꿍❤❤","헤헿"
2020-01-04 23:50:07,"임연지","내일늦게 인나도 된다고 또"
2020-01-04 23:50:11,"임연지","겁내 할라고?"
2020-01-04 23:50:12,"임연지","ㅋㅋㅋ"
2020-01-04 23:50:18,"❤❤빵꿍❤❤","갸꾸르르"
2020-01-04 23:50:23,"❤❤빵꿍❤❤","근디 내일 일찍인나소"
2020-01-04 23:50:23,"임연지","으이구 ㅋㅋㅋㅋㅋ"
2020-01-04 23:50:25,"임연지","우웅"
2020-01-04 23:50:28,"임연지","어데가?"
2020-01-04 23:50:32,"❤❤빵꿍❤❤","가구옮겨야돼"
2020-01-04 23:50:34,"임연지","호요"
2020-01-04 23:50:38,"❤❤빵꿍❤❤","엄마가 일찍인나래여"
2020-01-04 23:50:42,"임연지","가구위치 바꾸는겨?"
2020-01-04 23:50:55,"❤❤빵꿍❤❤","그래서 스톰버드 10번만더 잡고 끝낼러궁"
2020-01-04 23:50:57,"❤❤빵꿍❤❤","웅요"
2020-01-04 23:51:03,"임연지","ㅋㅋㅋㅋㅋㅋㅋ"
2020-01-04 23:51:08,"임연지","으구"
2020-01-04 23:52:14,"❤❤빵꿍❤❤","헿ㅅ"
2020-01-04 23:53:38,"임연지","내일 있자너"
2020-01-04 23:53:44,"임연지","3시까지 충무로로 와라"
2020-01-04 23:53:47,"임연지","알갓제"
2020-01-04 23:53:52,"❤❤빵꿍❤❤","알겟ㅇ엉"
2020-01-04 23:54:01,"임연지","이모티콘"
2020-01-04 23:54:03,"임연지","이모티콘"
2020-01-04 23:54:11,"❤❤빵꿍❤❤","이모티콘"
2020-01-04 23:54:25,"임연지","개찰구에 카드찍지말구"
2020-01-04 23:54:35,"❤❤빵꿍❤❤","웅용"
2020-01-04 23:54:39,"❤❤빵꿍❤❤","그려려"
2020-01-04 23:54:56,"임연지","사진"
2020-01-04 23:55:07,"임연지","근디 생각해보니"
2020-01-04 23:55:20,"임연지","빵댕이 1>4>1이네"
2020-01-04 23:55:24,"임연지","ㅋㅋㅋㅋㅋ"
2020-01-04 23:56:44,"❤❤빵꿍❤❤","고로탕"
2020-01-04 23:56:48,"❤❤빵꿍❤❤","괘안응"
2020-01-05 00:08:25,"임연지","이모티콘"
2020-01-05 00:08:27,"임연지","이모티콘"
2020-01-05 00:08:58,"❤❤빵꿍❤❤","이모티콘"
2020-01-05 00:09:01,"❤❤빵꿍❤❤","이모티콘"
2020-01-05 00:09:05,"임연지","이모티콘"
2020-01-05 00:09:07,"임연지","이모티콘"
2020-01-05 00:09:48,"❤❤빵꿍❤❤","헤헷"
2020-01-05 00:10:11,"임연지","이모티콘"
2020-01-05 00:13:20,"❤❤빵꿍❤❤","잘끄냥"
2020-01-05 00:13:29,"임연지","지곰"
2020-01-05 00:13:36,"임연지","업뎃이 너무느려가꾸"
2020-01-05 00:13:39,"임연지","멀라잉"
2020-01-05 00:13:44,"❤❤빵꿍❤❤","아항"
2020-01-05 00:13:50,"임연지","웅"
2020-01-05 00:14:00,"❤❤빵꿍❤❤","아직 안해본겨?"
2020-01-05 00:14:18,"임연지","사진"
2020-01-05 00:14:29,"임연지","업뎃만 이것저것 허는중"
2020-01-05 00:15:31,"❤❤빵꿍❤❤","고로곰요요"
2020-01-05 00:15:38,"❤❤빵꿍❤❤","언어아어ㅓ앙너어ㅓㄴㅇ"
2020-01-05 00:15:48,"임연지","가주어엉ㅇ"
2020-01-05 00:15:51,"임연지","가쥬아아앙"
2020-01-05 00:30:38,"임연지","https://youtu.be/JHMs1fEcshs"
2020-01-05 00:30:48,"임연지","가쥬아ㅏㅏ"
2020-01-05 00:31:29,"❤❤빵꿍❤❤","호잉"
2020-01-05 00:31:36,"❤❤빵꿍❤❤","어딜가여"
2020-01-05 00:31:49,"임연지","저거 만들어서 징구랑 같이 먹기"
2020-01-05 00:31:51,"임연지","가쥬아아ㅏ"
2020-01-05 00:31:53,"❤❤빵꿍❤❤","ㅋㅋㅋ"
2020-01-05 00:31:55,"❤❤빵꿍❤❤","호잉"
2020-01-05 00:32:00,"임연지","이모티콘"
2020-01-05 00:32:15,"❤❤빵꿍❤❤","이모티콘"
2020-01-05 00:32:24,"임연지","이모티콘"
2020-01-05 00:33:48,"❤❤빵꿍❤❤","호여여"
2020-01-05 00:33:56,"임연지","호요"
2020-01-05 00:33:59,"임연지","이모티콘"
2020-01-05 00:34:40,"❤❤빵꿍❤❤","이모티콘"
2020-01-05 00:35:43,"임연지","이모티콘"
2020-01-05 00:35:45,"임연지","이모티콘"
2020-01-05 00:38:12,"❤❤빵꿍❤❤","데헷"
2020-01-05 00:38:26,"임연지","이모티콘"
2020-01-05 00:38:57,"❤❤빵꿍❤❤","징구이 맥북 하는중??"
2020-01-05 00:39:09,"임연지","누우ㅏ있더"
2020-01-05 00:39:22,"❤❤빵꿍❤❤","맥북은??"
2020-01-05 00:39:29,"임연지","그친구"
2020-01-05 00:39:52,"임연지","사진"
2020-01-05 00:39:52,"임연지","열심히 업뎃중"
2020-01-05 00:40:00,"임연지","ㅋㅋㅋ"
2020-01-05 00:40:13,"임연지","의자에 두고 계속 상황보면서 폰중"
2020-01-05 00:40:19,"임연지","이모티콘"
2020-01-05 00:40:24,"❤❤빵꿍❤❤","고로고몬"
2020-01-05 00:40:28,"❤❤빵꿍❤❤","언제잘라궁"
2020-01-05 00:40:28,"임연지","넹"
2020-01-05 00:40:32,"임연지","멀랑"
2020-01-05 00:41:52,"❤❤빵꿍❤❤","호여"
2020-01-05 00:42:01,"❤❤빵꿍❤❤","늦잠잘라구요?"
2020-01-05 00:43:44,"임연지","이모티콘"
2020-01-05 00:43:49,"임연지","이모티콘"
2020-01-05 00:43:52,"임연지","이모티콘"
2020-01-05 00:47:17,"❤❤빵꿍❤❤","호요"
2020-01-05 00:47:20,"❤❤빵꿍❤❤","나둥ㅅ"
2020-01-05 00:47:31,"임연지","이모티콘"
2020-01-05 00:47:35,"임연지","이모티콘"
2020-01-05 00:47:39,"임연지","이모티콘"
2020-01-05 00:48:06,"❤❤빵꿍❤❤","웅요"
2020-01-05 00:48:22,"❤❤빵꿍❤❤","개꿀잼잼"
2020-01-05 00:48:24,"❤❤빵꿍❤❤","헤헤"
2020-01-05 00:48:28,"임연지","이모티콘"
2020-01-05 00:48:32,"❤❤빵꿍❤❤","이모티콘"
2020-01-05 00:48:35,"임연지","이모티콘"
2020-01-05 00:48:38,"❤❤빵꿍❤❤","이모티콘"
2020-01-05 00:48:42,"임연지","이모티콘"
2020-01-05 00:48:47,"❤❤빵꿍❤❤","이모티콘"
2020-01-05 00:48:51,"임연지","이모티콘"
2020-01-05 00:48:52,"임연지","이모티콘"
2020-01-05 00:52:27,"임연지","https://youtu.be/z1ai61tvmMo"
2020-01-05 00:52:39,"임연지","아 오빠 식단 다시들어기기전에"
2020-01-05 00:52:48,"❤❤빵꿍❤❤","ㅋㅋㅋㅋㅋㅋㅋ"
2020-01-05 00:52:49,"임연지","라면뷔페갈걸"
2020-01-05 00:52:50,"❤❤빵꿍❤❤","호여여"
2020-01-05 00:52:51,"임연지","ㅠㅜ"
2020-01-05 00:52:52,"❤❤빵꿍❤❤","ㅋㅋㅋㅋㅋ"
2020-01-05 00:52:56,"❤❤빵꿍❤❤","멀라잉ㅇ"
2020-01-05 00:52:58,"❤❤빵꿍❤❤","ㅋㅋㅋㅋ"
2020-01-05 00:53:06,"임연지","완전 까먹고 있었네"
2020-01-05 00:53:28,"❤❤빵꿍❤❤","상해기아니여"
2020-01-05 00:53:30,"❤❤빵꿍❤❤","저사람"
2020-01-05 00:53:43,"임연지","맞엉"
2020-01-05 00:53:48,"임연지","또 아는사람이제"
2020-01-05 00:53:51,"❤❤빵꿍❤❤","웅요"
2020-01-05 00:53:54,"임연지","역시"
2020-01-05 00:53:55,"❤❤빵꿍❤❤","잘묵어"
2020-01-05 00:53:56,"임연지","인싸"
2020-01-05 00:54:01,"임연지","다 알아"
2020-01-05 00:54:06,"❤❤빵꿍❤❤","후아"
2020-01-05 00:54:11,"임연지","ㅋㅋㅋㅋㅋㅋ"
